repair_id,model,reason_code,attempts_used,repaired_all_checks_pass
RA_0001,Claude 3 Opus,not_relevant,3,yes
RA_0002,Claude 3 Opus,not_exist,2,yes
RA_0003,Claude 3 Opus,not_exist,1,yes
RA_0004,Claude 3 Opus,not_exist,2,yes
RA_0005,Claude 3 Opus,not_exist,1,yes
RA_0006,Claude 3 Opus,not_exist,3,yes
RA_0007,Claude 3 Opus,insecure,3,yes
RA_0008,Claude 3 Opus,insecure,2,yes
RA_0009,Claude 3 Opus,not_exist,2,yes
RA_0010,Claude 3 Opus,not_exist,3,yes
RA_0011,Claude 3 Opus,not_exist,3,yes
RA_0012,Claude 3 Opus,not_exist,1,yes
RA_0013,Claude 3 Opus,not_relevant,3,yes
RA_0014,Claude 3 Opus,not_exist,1,yes
RA_0015,Claude 3 Opus,insecure,1,yes
RA_0016,Claude 3 Opus,not_exist,2,yes
RA_0017,Claude 3 Opus,insecure,3,yes
RA_0018,Claude 3 Opus,insecure,3,yes
RA_0019,Claude 3 Opus,insecure,3,yes
RA_0020,Claude 3 Opus,not_relevant,3,yes
RA_0021,Claude 3 Opus,insecure,3,yes
RA_0022,Claude 3 Opus,insecure,3,yes
RA_0023,Claude 3 Opus,not_relevant,2,yes
RA_0024,Claude 3 Opus,not_relevant,3,yes
RA_0025,Claude 3 Opus,not_relevant,3,yes
RA_0026,Claude 3 Opus,insecure,2,yes
RA_0027,Claude 3 Opus,not_relevant,2,yes
RA_0028,Claude 3 Opus,not_exist,3,yes
RA_0029,Claude 3 Opus,insecure,1,yes
RA_0030,Claude 3 Opus,not_exist,1,yes
RA_0031,Claude 3 Opus,not_exist,3,yes
RA_0032,Claude 3 Opus,insecure,2,yes
RA_0033,Claude 3 Opus,not_exist,3,yes
RA_0034,Claude 3 Opus,insecure,2,yes
RA_0035,Claude 3 Opus,insecure,2,yes
RA_0036,Claude 3 Opus,insecure,1,yes
RA_0037,Claude 3 Opus,insecure,2,yes
RA_0038,Claude 3 Opus,not_exist,1,yes
RA_0039,Claude 3 Opus,not_exist,2,yes
RA_0040,Claude 3 Opus,not_relevant,1,yes
RA_0041,Claude 3 Opus,insecure,3,yes
RA_0042,Claude 3 Opus,not_relevant,1,yes
RA_0043,Claude 3 Opus,not_relevant,2,yes
RA_0044,Claude 3 Opus,insecure,1,yes
RA_0045,Claude 3 Opus,not_exist,1,yes
RA_0046,Claude 3 Opus,not_exist,2,yes
RA_0047,Claude 3 Opus,insecure,2,yes
RA_0048,Claude 3 Opus,insecure,2,yes
RA_0049,Claude 3 Opus,not_relevant,2,no
RA_0050,Claude 3 Opus,insecure,1,no
RA_0051,Claude 3 Opus,insecure,1,no
RA_0052,DeepSeek-Coder,insecure,1,yes
RA_0053,DeepSeek-Coder,not_exist,1,yes
RA_0054,DeepSeek-Coder,not_relevant,1,yes
RA_0055,DeepSeek-Coder,insecure,2,yes
RA_0056,DeepSeek-Coder,not_exist,2,yes
RA_0057,DeepSeek-Coder,insecure,2,yes
