snippet_id,model,model_version,dataset_tier,annotator_a_label,annotator_b_label,adjudicated,annotator_c_label,final_label,halluguard_prediction,codebook_version
G800_0001,Claude 3 Opus,claude-3-opus-20240229,MBPP,hallucination,hallucination,no,,hallucination,not_flagged,1.0
G800_0002,Claude 3 Opus,claude-3-opus-20240229,CodeHaluEval,hallucination,hallucination,no,,hallucination,not_flagged,1.0
G800_0003,Claude 3 Opus,claude-3-opus-20240229,NL-API,hallucination,hallucination,no,,hallucination,flagged,1.0
G800_0004,Claude 3 Opus,claude-3-opus-20240229,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,flagged,1.0
G800_0005,Claude 3 Opus,claude-3-opus-20240229,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0006,Claude 3 Opus,claude-3-opus-20240229,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0007,Claude 3 Opus,claude-3-opus-20240229,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0008,Claude 3 Opus,claude-3-opus-20240229,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0009,Claude 3 Opus,claude-3-opus-20240229,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0010,Claude 3 Opus,claude-3-opus-20240229,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0011,Claude 3 Opus,claude-3-opus-20240229,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0012,Claude 3 Opus,claude-3-opus-20240229,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0013,Claude 3 Opus,claude-3-opus-20240229,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0014,Claude 3 Opus,claude-3-opus-20240229,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0015,Claude 3 Opus,claude-3-opus-20240229,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0016,Claude 3 Opus,claude-3-opus-20240229,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0017,Claude 3 Opus,claude-3-opus-20240229,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0018,Claude 3 Opus,claude-3-opus-20240229,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0019,Claude 3 Opus,claude-3-opus-20240229,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0020,Claude 3 Opus,claude-3-opus-20240229,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0021,Claude 3 Opus,claude-3-opus-20240229,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0022,Claude 3 Opus,claude-3-opus-20240229,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0023,Claude 3 Opus,claude-3-opus-20240229,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0024,Claude 3 Opus,claude-3-opus-20240229,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0025,Claude 3 Opus,claude-3-opus-20240229,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0026,Claude 3 Opus,claude-3-opus-20240229,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0027,Claude 3 Opus,claude-3-opus-20240229,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0028,Claude 3 Opus,claude-3-opus-20240229,HumanEval+,no_hallucination,hallucination,yes,no_hallucination,no_hallucination,not_flagged,1.0
G800_0029,Claude 3 Opus,claude-3-opus-20240229,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0030,Claude 3 Opus,claude-3-opus-20240229,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0031,Claude 3 Opus,claude-3-opus-20240229,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0032,Claude 3 Opus,claude-3-opus-20240229,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0033,Claude 3 Opus,claude-3-opus-20240229,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
